               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.80039,              3.8186,              1.2973,             0.22576,             0.42188,             0.28252,             0.23712,             0.61937,               2.451,              1.3161,             0.07021,             0.00331,             0.00331
                   1,              0.7218,               2.531,              1.1903,             0.36695,             0.57169,             0.48984,              0.4276,             0.59477,              2.0247,               1.287,            0.040045,           0.0064789,           0.0064789
                   2,             0.77468,              2.2326,               1.207,             0.47344,             0.61115,             0.56456,             0.48307,             0.62708,              2.1108,              1.3385,           0.0097159,           0.0094828,           0.0094828
                   3,             0.83635,              2.0577,              1.2519,             0.45057,             0.63384,             0.59961,             0.50325,             0.71015,              1.8219,               1.446,           0.0092575,           0.0092575,           0.0092575
                   4,             0.84469,              1.9392,              1.2603,             0.58079,             0.61958,             0.65638,             0.54612,             0.69871,              1.5168,              1.3913,           0.0092575,           0.0092575,           0.0092575
                   5,             0.81429,              1.7949,              1.2399,             0.64453,             0.60641,             0.67409,             0.57195,             0.65162,              1.5144,              1.3202,             0.00901,             0.00901,             0.00901
                   6,             0.79728,              1.6859,              1.2229,              0.5914,             0.68033,             0.72522,             0.60726,              0.6551,              1.2974,              1.3101,           0.0087625,           0.0087625,           0.0087625
                   7,             0.77651,               1.581,              1.1989,             0.66157,             0.67858,             0.76014,              0.6582,             0.60069,              1.1939,              1.2588,            0.008515,            0.008515,            0.008515
                   8,             0.75437,              1.5141,              1.1935,             0.68447,             0.72287,             0.77512,             0.66218,              0.6335,              1.1196,              1.3067,           0.0082675,           0.0082675,           0.0082675
                   9,             0.73835,              1.4318,              1.1857,             0.71614,             0.75488,             0.82468,             0.71331,             0.62278,              1.0422,              1.2811,             0.00802,             0.00802,             0.00802
                  10,             0.72296,              1.4003,              1.1689,             0.68004,             0.85077,             0.83151,             0.72335,             0.58491,              0.8747,              1.2289,           0.0077725,           0.0077725,           0.0077725
                  11,             0.70427,              1.3232,              1.1592,             0.73325,             0.82661,             0.86668,             0.75507,             0.58855,             0.85812,              1.2265,            0.007525,            0.007525,            0.007525
                  12,              0.6938,              1.2722,              1.1421,             0.75637,             0.77412,             0.83269,             0.73923,             0.55954,             0.90286,              1.1954,           0.0072775,           0.0072775,           0.0072775
                  13,             0.67395,              1.1989,              1.1334,             0.70328,              0.8287,             0.86102,             0.75292,               0.582,             0.89461,              1.2303,             0.00703,             0.00703,             0.00703
                  14,             0.68005,               1.174,              1.1351,             0.71887,             0.85836,             0.87091,             0.77363,             0.54699,             0.72605,              1.1961,           0.0067825,           0.0067825,           0.0067825
                  15,             0.67654,              1.1512,              1.1329,             0.77668,             0.84307,             0.87523,             0.77523,             0.54946,             0.69544,              1.1837,            0.006535,            0.006535,            0.006535
